"SID","artistic","assertive","calm","careless","cold","considerate","cooperate","curious","depressed","disorganized","distracted","efficient","emotionallystable","energy","enthusiasm","findfault","forgiving","helpful","imagination","ingenious","inventive","lazy","moody","nervous","original","outgoing","perseveres","plans","quarrels","quiet","reflect","relaxed","reliable","reserved","routine","rude","shy","sophisticated","talkative","tense","thorough","trusting","unartistic","worries"
56,10,12,8,8,9,11,12,8,6,9,8,11,4,10,12,2,6,8,9,9,8,10,11,10,9,12,12,11,6,1,10,6,10,5,10,13,8,8,13,12,13,14,5,14
57,14,10,13,11,10,14,13,13,2,10,8,13,13,13,12,7,13,12,13,12,12,4,9,3,13,13,11,12,2,4,14,12,13,9,9,3,12,15,12,9,13,13,1,3
60,15,13,13,3,9,12,9,15,1,1,7,13,12,15,15,9,8,11,15,14,10,7,7,5,14,15,15,15,7,4,15,11,15,5,10,9,4,15,13,4,15,8,2,5
61,15,11,11,5,2,12,11,14,2,11,11,11,13,9,13,4,14,12,12,5,10,8,5,8,10,14,12,8,2,3,7,12,13,2,13,8,3,15,14,3,13,14,2,6
64,12,1,13,3,4,13,13,12,5,14,7,11,13,13,14,4,14,12,14,11,12,7,5,5,12,11,11,7,2,3,11,12,12,3,8,4,4,11,13,6,11,13,3,6
68,12,9,13,4,5,12,12,12,8,6,5,10,10,5,11,3,13,11,9,12,8,4,6,6,8,11,9,9,3,8,12,10,9,7,9,1,5,10,8,5,12,4,4,9
70,11,14,8,11,6,15,13,15,6,6,4,14,12,12,12,6,4,14,14,14,10,11,10,15,14,12,12,14,3,11,13,3,15,13,7,10,12,5,14,14,14,12,6,15
71,13,11,15,2,2,13,12,13,2,2,1,15,14,14,15,11,12,13,12,11,14,1,3,8,14,15,15,15,4,2,10,10,15,2,12,8,3,10,14,9,15,5,4,9
74,14,10,10,1,1,10,11,13,1,1,7,10,10,11,9,3,11,11,6,9,8,1,6,7,8,13,14,15,4,5,10,8,15,4,15,1,5,10,12,10,15,12,3,6
78,12,5,7,13,2,13,12,11,3,13,13,11,5,9,7,12,6,12,9,13,10,11,12,14,9,10,4,11,9,11,13,9,12,14,11,5,13,10,9,14,7,12,8,10
81,8,9,7,8,8,8,8,8,8,9,8,7,8,9,8,9,8,7,8,8,9,8,9,9,9,8,9,8,9,8,9,8,8,7,8,8,8,9,8,7,7,8,8,8
85,5,13,4,7,9,10,10,13,9,6,9,12,10,9,9,14,10,11,11,13,11,2,12,12,10,13,11,14,12,7,13,9,15,13,6,14,13,12,13,14,12,12,11,14
86,10,7,12,12,5,9,4,13,4,12,10,7,13,10,6,10,4,10,13,10,12,12,6,6,12,7,7,12,5,12,12,12,12,10,6,11,12,12,7,5,12,11,6,6
87,3,15,13,9,5,6,2,12,1,9,2,15,11,14,15,11,12,8,14,11,9,1,9,2,10,13,15,14,4,4,10,12,15,8,11,7,9,2,11,14,14,15,15,8
88,11,13,12,9,2,11,6,14,6,4,11,10,10,13,13,12,9,8,14,10,10,11,10,3,11,5,9,9,5,6,13,13,12,7,5,9,13,9,12,3,12,10,2,10
89,11,4,6,9,2,15,14,13,6,4,14,10,9,13,14,2,15,14,13,7,10,9,13,14,11,14,13,10,1,2,12,4,12,3,6,2,9,6,14,5,14,14,4,9
90,12,3,10,7,12,13,6,6,9,11,11,14,5,6,7,10,7,13,6,7,6,13,12,14,7,5,10,14,5,12,10,9,13,14,12,4,13,13,7,9,13,7,4,NA
91,13,4,12,7,9,13,13,14,2,10,12,12,10,13,12,6,13,13,13,9,13,2,7,2,13,12,12,12,1,11,11,13,13,11,9,4,12,12,9,7,11,8,8,4
92,11,10,13,9,9,11,13,13,2,4,10,12,10,12,12,11,13,11,11,10,8,10,10,9,10,11,12,14,2,9,12,12,13,10,5,9,9,10,10,7,12,14,6,10
94,13,12,7,2,9,8,10,9,11,2,1,13,2,9,8,9,6,9,10,12,12,4,11,13,10,7,14,13,11,11,10,7,11,13,13,10,12,12,7,12,13,4,1,14
95,14,12,4,10,5,11,14,12,4,5,13,11,13,11,15,10,12,12,13,13,15,14,9,9,15,15,10,8,4,4,12,5,10,6,11,7,7,15,12,6,11,11,1,11
97,12,11,8,3,8,12,12,12,10,1,10,12,4,11,13,10,13,13,13,13,9,8,13,9,10,11,15,13,4,12,12,11,14,11,10,9,12,11,10,13,14,11,3,12
101,11,7,9,9,9,7,10,10,5,9,10,9,12,10,9,9,9,7,9,8,7,11,9,7,9,9,9,10,7,7,9,11,9,7,10,11,9,10,10,7,9,7,10,6
102,11,11,11,5,8,12,8,11,5,2,12,11,9,8,10,4,11,11,11,11,10,4,10,9,9,10,10,13,2,12,13,11,11,8,14,10,12,11,8,3,4,7,10,11
10107,12,11,12,9,11,11,13,15,4,5,4,12,8,11,7,6,5,11,15,12,11,4,12,8,12,12,12,12,5,11,12,10,15,12,8,12,8,8,9,11,13,10,3,11
10109,10,11,14,7,1,15,15,13,1,8,12,11,14,12,15,3,15,15,13,8,9,14,7,10,12,13,12,12,1,11,11,13,14,7,8,1,9,11,13,3,13,15,7,11
10111,12,4,10,8,2,12,12,9,2,2,13,12,12,11,11,2,14,10,11,6,3,11,3,12,3,9,11,12,1,11,4,10,12,10,14,4,12,11,10,6,13,14,3,12
10112,14,6,15,10,12,10,14,12,9,3,4,14,9,6,10,12,11,12,12,10,10,6,12,9,10,9,14,15,8,8,11,9,14,9,12,13,11,13,11,11,13,11,4,13
10116,11,5,12,2,3,15,13,12,2,2,10,12,15,9,10,4,14,11,12,10,10,3,7,9,9,13,11,13,2,14,12,12,14,13,12,4,13,8,9,9,12,15,4,4
10117,14,14,14,13,2,5,8,8,2,10,3,15,13,13,8,13,8,8,9,14,13,2,2,5,13,12,14,11,9,1,11,7,14,2,14,4,14,3,13,6,13,13,4,11
10118,11,5,8,10,10,9,8,9,9,7,10,10,8,9,9,9,8,10,9,9,8,10,10,12,8,8,11,11,3,10,10,8,12,10,9,5,12,11,6,10,10,10,6,10
10121,8,2,10,9,8,15,14,11,3,7,8,8,12,10,10,1,15,12,10,9,10,9,3,2,10,9,10,8,1,9,9,11,12,8,4,1,9,6,6,4,9,11,8,2
10122,14,7,7,14,15,7,7,15,13,15,15,7,8,7,7,14,8,10,15,12,7,15,15,14,13,7,13,4,7,9,14,6,7,13,5,15,15,9,11,15,7,6,3,15
10123,13,7,12,9,3,14,14,12,2,9,10,12,11,15,15,2,12,13,13,8,7,8,7,5,8,13,11,9,2,6,13,11,11,4,9,5,9,10,12,3,10,11,6,5
10124,13,14,10,2,6,11,10,13,5,3,6,13,11,14,13,13,13,12,12,12,13,9,12,5,12,13,14,9,6,10,11,12,14,3,15,10,11,13,13,11,14,12,4,9
10125,12,7,11,5,2,13,9,15,3,9,6,9,2,10,5,2,14,13,13,8,13,3,12,6,13,11,11,13,4,5,15,9,14,9,3,2,11,9,11,4,12,14,3,6
10128,3,14,14,1,6,7,13,10,3,1,12,15,13,14,13,15,5,7,5,3,10,9,3,6,10,10,8,15,3,7,4,13,15,7,15,9,5,4,10,4,15,13,13,15
10129,14,4,13,10,11,12,13,13,4,7,9,12,14,5,5,13,13,11,12,9,10,10,3,11,12,6,11,7,2,12,12,14,11,13,9,11,12,12,6,13,12,12,3,9
10130,9,7,9,8,10,12,8,12,10,8,9,9,9,8,7,9,7,7,13,8,9,10,10,10,8,12,10,7,4,13,9,11,12,11,11,11,7,7,10,11,10,8,6,9
10131,12,13,12,NA,2,10,12,13,1,8,6,13,12,14,13,7,9,11,13,12,12,2,7,3,4,NA,13,11,6,1,11,12,13,11,5,5,4,13,14,5,13,12,5,5
10132,15,6,15,10,11,13,14,10,8,2,8,8,11,6,6,3,15,9,14,10,14,15,3,11,14,7,9,14,1,15,9,11,13,12,15,2,15,15,2,8,15,14,4,14
10133,10,4,6,14,9,12,7,10,6,15,13,2,4,8,10,7,9,9,9,10,7,12,13,11,7,10,2,5,5,10,12,6,4,12,10,5,13,9,5,9,4,11,6,11
10134,11,6,12,9,3,11,4,5,3,10,8,12,13,5,8,8,13,11,5,11,6,12,8,11,6,3,12,5,3,13,5,12,12,11,11,3,13,5,5,3,12,13,11,4
10136,11,9,11,7,4,14,11,10,6,5,11,11,11,9,9,4,13,13,12,6,10,13,7,3,11,6,9,12,2,13,9,11,13,9,12,6,12,7,6,5,11,13,9,11
10139,15,7,9,3,1,15,15,15,3,6,14,12,13,12,12,2,13,14,12,13,8,9,4,10,12,11,12,13,2,4,14,9,13,5,6,2,6,13,13,2,14,14,1,13
10143,15,3,11,10,12,7,13,15,9,9,9,3,8,4,2,11,10,11,12,13,9,11,13,9,14,10,6,5,4,9,13,6,11,9,1,11,9,13,5,11,11,11,1,11
10144,14,9,14,5,7,11,14,11,2,2,5,15,14,9,9,9,10,12,14,10,10,7,7,6,9,9,15,15,2,13,12,14,NA,12,12,10,11,9,5,10,15,10,5,10
10145,13,10,10,10,12,13,13,11,8,8,9,12,11,10,10,8,11,12,10,11,10,11,12,9,10,10,12,8,6,11,11,9,13,10,8,2,12,12,6,10,12,14,13,10
10147,12,11,9,13,13,11,13,11,12,13,12,12,12,13,12,14,12,12,11,11,11,12,11,13,12,12,13,11,11,11,13,13,12,13,12,12,13,13,11,12,13,12,12,14
10148,12,11,15,4,12,12,14,13,8,3,2,15,15,7,6,1,14,13,10,12,8,4,2,13,9,1,14,5,1,14,5,11,15,13,15,1,15,12,3,3,14,15,2,10
10149,8,8,11,9,8,10,9,11,4,7,9,9,11,9,8,10,10,10,9,8,10,7,6,8,9,9,10,10,5,9,8,10,11,7,9,7,8,8,9,8,12,10,9,6
10150,13,5,1,3,3,15,14,13,3,3,3,12,11,8,13,7,10,12,11,10,10,3,9,11,6,9,11,11,3,12,12,3,14,7,10,5,13,11,4,9,13,12,2,11
10153,15,4,13,9,15,6,3,11,11,2,10,6,4,7,9,15,4,7,11,9,7,7,13,10,6,7,14,7,2,10,15,8,11,13,7,9,14,11,10,14,12,2,3,14
10155,13,10,12,9,6,5,8,9,6,6,10,12,8,10,10,15,8,11,8,6,8,12,7,5,9,13,10,13,6,3,8,10,11,4,12,9,4,12,13,7,9,10,5,5
10157,15,15,11,4,1,15,15,12,1,5,6,12,6,10,15,6,6,15,11,14,4,7,12,7,9,15,15,14,9,3,10,10,15,2,3,9,1,13,13,11,15,13,5,11
10161,12,8,10,10,5,11,11,13,11,10,11,11,13,6,12,10,12,11,15,12,9,11,7,13,8,5,11,15,3,15,12,12,13,12,13,8,15,6,5,4,11,12,8,5
10164,15,6,15,10,14,15,9,NA,3,12,11,4,12,3,1,10,7,13,15,10,12,12,9,11,8,9,10,14,1,12,15,10,8,11,15,2,10,12,3,6,10,3,1,NA
10167,15,12,12,6,7,10,13,15,11,6,13,10,11,8,4,6,5,11,14,12,11,7,5,5,15,9,11,9,1,13,12,12,8,11,5,6,10,15,9,12,10,5,2,11
10171,8,8,7,9,10,13,11,10,9,11,12,15,9,13,7,9,11,13,9,13,10,9,13,12,8,9,11,11,4,12,12,6,14,10,5,7,10,11,9,13,14,14,7,11
10172,14,12,8,11,11,10,9,13,10,14,13,9,8,6,9,13,6,9,15,11,11,13,12,10,14,5,6,11,9,6,15,4,4,8,6,NA,9,11,8,11,6,5,3,10
10174,5,9,4,10,12,3,12,14,15,9,12,12,1,9,7,15,5,9,15,9,6,12,15,12,10,14,9,6,10,7,10,1,10,8,12,12,11,7,15,8,11,11,8,15
10175,11,10,11,12,11,9,8,11,12,11,11,5,10,5,5,6,10,11,8,11,6,11,10,10,11,5,7,5,5,4,12,10,6,9,8,11,8,10,11,10,9,3,5,8
10176,14,9,11,14,3,8,12,11,13,12,12,12,12,13,14,11,12,10,14,13,12,6,6,13,13,15,15,12,13,5,11,10,11,14,10,3,7,9,12,11,10,13,13,13
10180,11,2,9,12,11,5,8,6,14,15,14,1,5,2,5,14,3,7,15,7,4,15,15,15,9,3,5,11,3,14,9,3,4,15,11,10,14,9,2,14,5,1,6,15
10181,15,11,12,3,9,12,14,13,7,3,9,15,12,9,10,11,12,13,11,9,11,4,9,12,10,11,13,13,5,8,11,12,15,9,9,7,10,14,11,12,14,10,2,11
10186,9,12,5,9,9,9,9,11,4,11,12,9,9,12,10,12,11,10,9,13,10,12,10,12,11,9,13,6,7,10,13,4,6,10,6,7,11,5,11,5,14,10,10,3
10187,13,9,9,11,9,12,10,12,5,12,12,6,10,9,10,9,12,10,12,12,10,13,7,11,13,7,7,10,5,10,13,11,5,10,9,8,9,13,9,9,8,11,4,11
10188,13,13,12,12,5,12,13,12,8,13,14,13,6,12,13,9,11,10,11,11,10,10,10,4,11,13,6,10,3,3,5,11,12,4,8,10,4,12,13,10,11,11,3,5
10197,10,10,11,9,10,12,10,11,NA,7,11,11,9,9,7,9,9,11,10,9,10,10,NA,10,9,11,10,11,7,13,11,10,10,7,10,13,10,10,7,7,9,9,12,12
10199,15,5,13,11,6,13,12,15,4,12,13,9,13,10,11,4,14,13,14,14,13,10,3,8,13,11,8,7,2,12,13,13,11,8,3,2,9,14,10,6,7,13,1,5
10200,9,7,13,7,13,8,9,14,10,8,8,10,13,8,7,2,10,8,15,12,11,8,3,6,12,6,13,9,1,15,15,10,13,15,9,8,12,8,5,10,12,4,10,7
10206,13,10,10,5,1,11,15,15,6,10,10,7,11,12,12,9,9,12,8,5,8,9,9,4,11,11,13,13,3,1,8,11,13,9,8,9,11,13,15,10,14,6,3,11
10208,15,13,11,4,11,15,11,15,1,10,14,10,12,11,11,13,4,9,11,13,12,6,10,6,10,11,15,13,5,11,10,10,12,15,6,10,15,6,4,11,13,3,7,5
10210,11,10,15,14,6,14,14,15,12,15,15,14,6,14,13,12,14,13,12,12,7,10,14,15,13,15,12,14,11,6,14,5,14,14,14,12,12,14,15,13,13,15,13,15
10212,14,4,14,12,6,12,12,14,7,14,15,11,10,12,7,4,13,11,15,11,11,11,11,13,12,10,11,11,1,13,14,7,13,13,6,5,13,12,4,13,10,10,4,11
10213,15,3,13,5,14,14,15,14,3,6,5,13,11,9,7,10,12,13,13,13,12,4,2,11,13,6,14,13,1,14,15,13,13,13,1,5,13,13,10,12,13,13,1,13
10217,8,14,5,5,14,4,3,14,2,1,13,13,10,7,13,13,3,3,3,9,3,6,10,14,7,12,13,14,13,6,12,5,13,11,1,12,9,11,11,14,13,4,13,13
10221,6,12,14,10,3,13,14,10,2,14,14,13,15,14,14,6,14,14,11,10,9,5,4,5,9,14,10,9,3,11,12,9,11,1,3,9,4,2,12,6,9,14,14,4
10222,13,5,11,12,15,11,11,11,3,13,11,10,14,6,5,11,13,12,11,12,14,11,7,9,12,7,10,9,1,11,12,11,7,11,6,4,13,9,9,13,5,14,10,1
10223,4,2,12,3,7,12,13,4,2,1,10,10,13,9,9,8,12,11,6,4,4,11,7,9,6,11,9,14,1,8,3,8,11,9,12,3,15,8,11,2,13,15,13,12
10227,6,6,11,9,7,11,10,10,5,5,11,10,10,10,11,5,9,10,10,10,10,6,9,10,10,6,9,10,5,10,10,10,10,10,7,5,11,5,6,9,10,10,10,10
10228,14,7,12,4,9,11,9,8,6,4,5,11,10,9,9,1,13,8,7,12,8,6,9,6,9,8,12,9,1,10,10,14,12,8,8,4,8,10,8,9,13,13,6,6
10230,4,9,11,7,8,6,5,10,6,7,7,13,11,9,9,10,7,7,11,11,12,5,9,11,12,5,12,13,9,12,13,12,13,11,12,9,13,4,4,11,14,5,9,7
10232,14,14,14,2,13,11,12,15,8,6,1,13,12,5,4,6,3,12,12,15,12,5,10,1,13,6,14,15,6,10,15,11,12,11,1,3,10,15,4,5,14,1,4,5
10234,15,3,10,11,10,15,15,13,10,15,14,6,12,3,9,9,14,15,13,11,10,14,13,14,12,5,9,7,1,14,15,6,9,12,13,10,14,4,11,13,5,14,2,14
10236,13,14,12,3,11,13,12,15,6,5,2,12,11,4,5,8,5,13,11,15,11,4,9,3,12,7,13,15,3,11,15,13,11,9,1,4,9,13,8,8,13,1,4,7
10239,11,14,12,3,1,11,14,12,1,2,8,13,15,15,15,7,9,10,13,11,14,2,3,6,14,15,1,13,3,4,12,11,13,6,10,2,3,9,15,3,14,12,3,1
10240,11,1,6,9,2,11,12,NA,5,9,9,9,3,2,10,3,14,12,12,10,9,11,9,13,13,8,11,9,1,12,10,6,14,8,8,2,11,8,7,8,12,14,8,14
10244,12,10,10,13,10,11,14,9,9,14,13,10,9,13,12,8,13,13,12,11,10,5,12,9,11,13,11,9,6,5,10,9,9,6,5,9,7,13,11,10,11,7,6,9
10245,15,5,12,13,11,13,15,14,8,15,15,4,5,11,13,11,13,15,13,8,12,15,13,12,13,15,5,12,4,5,12,6,10,4,6,7,9,15,11,15,7,15,1,15
10249,12,11,7,13,6,9,15,15,10,13,15,8,8,13,13,7,13,12,15,5,11,1,9,6,11,11,11,9,8,7,6,3,15,1,1,4,3,12,15,13,8,13,1,15
10251,5,9,5,3,1,10,5,14,1,4,8,11,9,9,11,13,3,10,8,8,4,10,6,9,6,10,8,12,1,3,15,9,12,6,7,2,9,5,10,3,13,9,7,13
10258,15,12,5,11,2,13,15,15,6,13,10,3,2,14,15,10,14,13,10,15,10,9,12,15,15,15,12,12,1,1,15,4,12,2,11,11,2,15,15,14,15,14,1,15
10259,15,13,13,9,9,12,13,15,5,9,10,4,15,10,9,4,13,12,12,12,12,9,2,1,13,13,9,9,3,4,15,13,10,4,3,2,2,11,12,1,10,6,2,1
10260,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10266,2,13,6,3,3,12,14,11,2,6,10,13,10,12,12,6,14,12,13,7,4,8,7,10,10,12,12,12,2,5,11,10,13,9,15,2,6,2,12,12,12,14,13,13
10267,15,13,10,4,1,12,12,12,1,1,11,10,11,14,14,3,11,10,10,8,8,1,8,9,10,15,13,13,3,1,8,14,15,4,8,8,2,9,15,8,12,13,3,10
10268,10,11,10,5,4,14,12,10,2,4,7,12,9,10,14,8,7,12,11,9,9,3,8,10,12,12,14,14,2,6,10,9,14,6,6,4,6,8,11,5,14,8,5,14
10270,12,10,14,13,3,14,14,14,1,14,15,14,11,14,14,2,14,13,15,12,12,15,5,3,13,12,14,14,4,3,12,15,14,5,14,2,5,11,14,3,14,15,3,2
10272,6,4,NA,10,11,11,10,11,9,6,12,10,10,5,6,9,11,11,12,6,8,4,9,7,10,4,9,12,4,12,NA,9,12,13,12,5,13,6,4,11,13,11,NA,13
10273,14,2,8,9,4,10,10,14,12,6,11,8,5,6,11,5,10,8,12,13,11,10,10,8,11,10,8,5,3,8,12,4,6,9,5,6,9,12,5,9,8,10,1,8
10274,9,11,13,7,10,13,13,13,5,4,11,14,10,10,10,12,12,14,13,10,9,11,11,14,7,10,12,13,6,13,11,12,14,10,13,9,13,7,10,13,14,13,11,13
10275,14,5,3,13,13,4,13,13,12,8,2,14,5,13,13,8,3,6,14,12,13,3,13,13,14,6,13,13,11,13,13,4,14,8,4,12,12,13,7,13,13,5,3,13
10276,13,10,11,3,8,10,12,12,10,5,11,9,11,11,10,10,8,12,12,13,5,5,6,6,6,9,11,10,3,10,13,11,11,10,11,5,5,13,12,10,11,9,4,10
10280,13,2,13,3,2,12,10,13,8,9,12,11,12,6,5,6,14,12,10,9,11,7,12,12,12,7,7,13,2,11,13,12,12,13,12,8,12,10,5,12,12,13,14,9
10281,11,5,12,10,9,12,6,13,9,13,12,9,14,1,2,6,13,13,13,9,9,13,7,7,10,3,5,6,2,13,13,11,5,12,7,5,12,12,4,9,3,14,11,6
10286,2,10,12,11,12,6,12,10,6,5,5,15,5,11,9,10,13,7,5,10,2,6,12,8,4,10,12,11,1,6,5,12,13,8,6,11,9,4,9,10,11,6,13,8
10287,9,4,8,3,14,7,5,15,9,2,10,11,8,3,1,14,12,11,10,13,7,1,8,15,8,3,15,13,7,15,15,3,15,15,9,12,15,3,3,15,15,8,8,15
10288,2,14,14,12,6,13,13,11,3,11,13,10,13,13,14,11,10,12,10,6,12,10,10,4,11,14,10,12,7,1,9,14,13,6,15,11,6,1,13,6,13,13,13,4
10289,8,7,11,9,7,10,10,11,6,8,12,12,9,14,12,7,9,11,9,9,9,7,8,7,8,10,11,11,4,5,8,10,12,6,10,7,7,10,13,5,10,6,9,10
10292,11,9,10,11,5,14,10,12,6,6,10,11,6,11,10,9,11,12,13,10,11,5,10,6,12,10,9,12,4,9,10,6,10,10,12,3,10,10,6,10,9,13,6,12
10293,15,6,12,13,11,11,14,14,5,13,14,11,8,12,9,5,12,12,15,9,8,9,11,12,12,11,13,12,4,13,13,12,11,14,6,9,14,10,9,11,12,15,5,13
10301,14,12,13,4,2,14,14,14,1,3,4,13,14,14,14,4,14,14,13,14,14,3,3,5,13,13,13,13,2,6,14,14,14,3,13,4,3,14,12,6,14,14,2,6
10304,10,10,13,9,1,15,13,11,11,3,1,14,10,13,13,5,13,15,11,9,8,3,13,7,NA,11,10,7,1,11,7,5,15,9,8,1,10,12,11,1,3,14,3,NA
10305,12,8,15,11,1,15,15,10,10,10,15,15,3,7,8,8,10,15,13,14,10,15,15,8,10,15,7,11,1,10,11,15,10,8,15,10,9,15,13,14,7,14,1,15
10308,15,13,12,12,2,15,15,15,1,NA,10,15,NA,15,NA,10,NA,15,15,NA,3,1,10,4,15,15,15,15,NA,10,15,13,15,10,5,5,5,15,15,NA,15,NA,1,12
10309,14,6,11,10,14,NA,7,10,11,4,5,11,13,6,9,11,5,7,11,11,8,11,4,9,12,NA,10,13,2,13,6,6,10,13,12,NA,11,11,12,12,13,5,4,12
10311,9,11,12,4,8,11,12,12,1,1,5,12,12,12,12,4,12,10,12,11,12,2,10,3,12,9,12,12,3,2,11,10,13,2,12,5,8,1,12,12,14,14,4,2
10312,5,12,13,12,13,NA,10,NA,6,6,11,13,11,14,12,15,3,6,NA,6,11,NA,11,3,10,NA,12,11,7,NA,7,NA,NA,2,2,NA,3,5,12,6,12,10,11,NA
10314,12,11,13,10,3,10,11,14,4,6,10,9,11,13,13,10,10,10,9,8,6,9,11,3,9,12,10,9,5,5,9,12,13,5,5,7,4,10,13,4,11,12,9,6
10318,15,5,12,4,4,13,10,11,9,6,10,10,7,9,10,9,13,12,14,9,11,6,6,5,12,11,14,13,2,12,7,6,14,10,11,4,11,13,6,9,NA,10,2,14
10322,12,4,10,4,8,10,8,4,8,2,8,10,12,4,4,8,10,10,4,8,8,10,6,10,8,4,12,12,4,12,8,8,12,12,8,6,14,6,4,10,12,12,2,8
10324,11,13,15,15,2,13,14,15,1,15,13,11,15,13,15,4,15,11,13,4,13,12,2,3,12,15,13,13,1,1,8,15,14,4,8,10,3,4,15,10,12,15,5,3
10326,6,9,11,8,4,4,12,NA,4,4,6,9,9,8,6,9,11,10,NA,8,11,NA,8,5,9,NA,8,8,5,NA,9,11,12,7,6,4,5,9,9,4,10,12,8,11
10327,15,15,13,8,8,11,10,15,5,6,12,15,7,13,10,6,10,14,15,15,15,6,11,3,15,15,11,11,5,8,15,15,11,6,1,4,10,13,9,4,10,12,1,8
10328,14,5,9,3,3,15,12,11,9,5,11,13,2,11,14,9,15,13,15,12,13,4,14,13,14,12,13,13,2,9,13,6,14,11,13,3,11,11,11,14,14,14,3,15
10336,14,9,8,11,11,12,13,12,4,11,10,8,12,5,11,4,12,11,13,13,12,10,11,6,8,13,7,7,1,6,12,11,11,8,11,10,11,12,10,1,12,12,6,10
10337,11,7,9,9,7,10,9,10,7,7,8,8,6,8,8,4,7,10,11,8,8,8,8,8,9,7,8,9,4,8,9,8,10,8,7,5,9,9,8,7,8,9,10,9
