"SID","artistic","assertive","calm","careless","cold","considerate","cooperate","curious","depressed","disorganized","distracted","efficient","emotionallystable","energy","enthusiasm","findfault","forgiving","helpful","imagination","ingenious","inventive","lazy","moody","nervous","original","outgoing","perseveres","plans","quarrels","quiet","reflect","relaxed","reliable","reserved","routine","rude","shy","sophisticated","talkative","tense","thorough","trusting","unartistic","worries"
10107,15,13,14,9,9,13,12,12,9,8,4,13,4,8,3,10,5,14,13,14,12,4,12,9,13,10,15,13,11,8,14,7,12,12,8,9,11,13,10,13,14,11,2,10
10108,15,11,9,11,11,7,7,15,1,10,14,10,11,13,12,9,2,10,15,9,15,9,7,10,14,4,9,5,1,5,12,13,10,2,1,2,11,14,12,1,9,11,1,11
10111,10,3,5,8,3,10,11,2,1,3,10,10,12,9,5,2,11,9,4,3,2,10,4,14,2,5,11,11,1,14,3,3,11,13,14,2,13,10,3,10,12,13,4,13
10112,15,9,15,3,7,13,13,14,11,2,3,13,12,6,10,14,14,12,12,12,13,2,13,6,13,9,14,14,10,11,13,14,14,11,13,11,11,15,13,11,14,9,1,14
10118,11,5,8,9,9,9,7,10,9,7,10,10,8,8,9,7,10,8,8,9,7,10,9,10,9,7,10,10,3,10,10,8,11,10,11,5,11,10,6,8,11,11,6,10
10121,10,2,11,10,4,14,15,11,2,5,10,9,13,10,10,2,15,15,15,8,8,10,6,3,9,8,9,8,1,11,15,12,10,9,5,2,13,8,8,3,9,13,8,5
10124,11,11,11,4,3,10,11,11,3,2,6,11,11,11,12,9,11,11,10,9,10,6,9,4,10,12,14,12,3,6,10,12,12,4,13,5,4,14,11,6,12,10,4,5
10126,9,9,8,11,7,8,9,9,11,9,10,10,11,9,10,9,8,9,9,10,9,8,11,9,8,9,10,9,9,9,10,9,9,9,10,7,9,9,8,9,9,10,10,10
10128,8,10,9,3,5,11,13,10,4,1,11,12,5,11,11,13,12,12,9,6,6,8,10,10,8,12,9,15,4,5,7,9,14,8,15,9,7,4,12,8,14,13,11,15
10129,15,4,13,10,10,13,13,13,9,6,11,13,15,6,5,13,10,9,12,10,11,6,6,12,9,10,6,9,1,12,12,12,10,11,12,12,12,13,10,14,7,12,3,13
10131,10,12,11,10,4,9,9,13,3,8,8,13,12,14,13,10,4,10,12,11,12,6,7,6,12,13,11,11,7,5,10,11,12,4,8,7,5,13,14,8,13,9,4,4
10136,11,12,12,3,5,14,14,12,4,4,11,9,10,11,10,14,14,14,13,8,12,11,7,4,10,5,9,14,1,12,9,13,12,9,12,3,12,9,6,5,12,14,6,3
10139,15,7,12,3,1,15,15,15,1,2,13,12,13,12,12,2,14,14,12,15,12,13,1,5,12,14,12,13,1,7,15,13,12,4,7,1,4,15,13,2,12,14,1,14
10143,14,8,10,11,13,11,11,14,12,11,13,2,2,5,3,12,5,9,13,14,11,11,14,11,14,4,11,5,9,6,14,6,11,9,2,11,9,13,10,14,10,6,1,12
10144,15,11,13,3,11,10,12,13,3,4,6,14,13,5,5,13,8,11,15,10,10,10,8,8,11,5,13,12,2,12,12,13,13,13,8,8,12,6,5,10,14,12,3,10
10145,11,12,12,10,8,11,12,12,11,11,12,12,10,10,10,8,11,12,11,11,13,11,11,12,10,11,11,12,11,11,12,12,13,10,12,11,11,12,10,11,11,11,12,11
10147,13,12,12,12,11,11,11,11,12,11,9,10,12,12,11,11,11,11,10,13,11,11,11,10,11,10,10,11,10,12,12,10,12,13,11,9,13,11,12,12,12,13,12,12
10149,10,10,11,9,9,11,10,11,7,8,8,9,13,9,8,9,10,10,7,9,11,6,8,8,9,10,13,13,4,7,8,11,11,8,9,7,9,9,8,7,12,10,6,9
10150,12,6,2,4,4,15,13,12,9,3,3,13,13,8,13,8,8,14,12,13,10,5,10,13,8,7,13,11,4,13,13,2,13,12,6,2,12,9,6,11,14,11,3,13
10153,15,2,10,12,12,10,5,12,13,2,6,7,4,7,9,12,9,10,13,7,8,7,14,13,6,9,13,11,2,9,13,6,11,12,7,4,15,11,9,14,13,8,6,13
10155,11,11,11,10,6,11,12,11,6,7,9,10,11,10,13,13,13,10,12,11,10,11,7,8,11,13,8,11,5,5,11,11,11,6,11,6,5,13,13,5,10,11,4,5
10157,13,14,13,4,1,15,14,14,1,9,3,11,14,11,15,6,6,15,13,11,6,5,10,10,5,15,15,15,1,2,12,11,15,2,3,2,3,13,14,3,15,14,3,10
10161,11,6,11,10,4,9,11,11,5,11,9,10,11,7,10,9,12,10,12,10,9,12,7,8,10,9,11,10,2,13,11,11,12,11,5,6,11,7,6,4,12,11,8,7
10175,6,10,11,10,11,8,8,13,11,13,8,5,11,4,6,10,6,12,11,10,12,9,10,5,12,5,8,11,5,6,12,10,7,8,12,11,8,11,4,11,7,4,5,8
10180,11,6,6,11,10,6,7,8,11,12,15,5,4,4,5,14,1,5,12,5,8,13,14,12,9,3,7,12,2,12,8,5,7,11,8,10,13,9,5,11,7,4,6,13
10181,12,11,9,9,11,10,15,10,12,2,11,15,9,6,10,10,12,12,11,9,9,4,6,12,6,11,13,9,2,10,9,9,11,12,7,9,13,10,6,13,13,9,1,12
10227,9,7,9,6,7,10,9,10,7,6,7,10,10,10,9,6,9,9,9,9,10,7,7,9,9,7,9,10,4,9,9,9,10,10,9,7,9,9,6,5,9,10,7,7
10228,14,10,10,9,9,10,9,12,8,8,9,10,9,9,8,3,11,9,6,12,6,6,9,6,8,8,10,10,2,10,9,12,12,10,9,7,10,12,6,9,12,9,7,10
10230,4,11,10,5,7,8,6,10,2,8,7,12,13,10,10,10,7,7,9,11,12,2,7,7,12,6,14,13,6,12,14,13,13,8,11,9,10,6,6,9,14,5,8,6
10234,15,3,5,13,12,14,15,14,15,13,14,6,5,3,6,9,12,15,13,11,9,15,14,14,12,4,9,7,1,14,15,1,9,12,14,6,15,11,5,14,8,11,9,15
10236,14,15,14,2,11,8,10,15,11,5,1,14,8,2,2,9,5,12,11,15,11,2,12,1,13,5,15,15,7,11,15,11,13,13,1,10,8,14,4,7,14,1,1,3
10240,NA,4,6,11,12,12,11,14,9,10,9,8,5,5,11,5,14,9,12,9,11,10,12,12,11,7,10,12,2,11,10,4,10,9,7,2,11,8,9,9,12,13,4,12
10244,13,12,11,15,12,13,15,14,12,15,13,10,7,12,11,6,13,13,12,12,12,5,12,13,13,12,12,6,4,7,13,7,13,5,3,7,7,11,12,11,9,5,5,8
10245,15,4,6,13,10,NA,12,NA,12,13,15,3,3,5,8,11,11,10,NA,10,9,NA,14,12,9,NA,5,12,1,NA,10,NA,NA,8,6,NA,8,15,11,15,5,12,1,NA
10266,10,12,7,4,3,14,13,10,3,2,9,13,9,10,12,3,14,13,7,6,6,4,7,10,10,11,14,14,1,9,5,10,14,9,14,3,10,1,12,9,12,14,12,9
10267,15,14,14,3,1,13,14,15,1,1,11,12,13,13,15,2,9,10,9,8,8,1,3,5,11,15,15,15,1,1,10,15,15,3,11,2,3,9,14,5,14,12,2,11
10274,7,11,13,5,6,13,14,10,2,3,5,14,14,11,11,11,9,14,6,10,9,9,7,7,9,9,14,9,2,9,11,13,13,9,9,6,11,5,10,5,14,14,10,10
10275,14,8,5,12,12,7,9,14,11,11,1,15,8,13,13,11,3,7,15,13,15,1,10,13,14,6,14,13,2,12,14,4,15,10,3,10,12,14,6,14,15,11,1,12
10288,5,15,13,12,8,12,12,10,1,11,12,12,15,14,14,10,9,8,12,12,12,11,11,9,11,14,10,12,5,6,11,13,12,3,14,10,6,2,14,4,12,11,14,4
10289,9,7,12,8,7,10,9,10,7,7,12,12,9,14,10,8,8,11,10,8,8,7,7,7,9,NA,13,11,4,6,9,10,11,6,11,NA,8,9,13,7,11,7,8,9
10292,11,11,11,6,5,11,11,12,6,5,9,11,8,11,13,7,11,10,11,7,10,NA,11,11,12,11,11,11,4,9,11,4,12,8,8,7,11,6,10,12,11,12,6,10
10301,15,8,14,2,3,14,14,14,2,2,3,13,14,14,14,4,14,14,14,15,14,3,2,3,13,13,14,14,1,6,14,14,14,12,14,3,1,15,12,5,14,14,1,9
10308,15,12,14,1,1,15,15,15,4,1,8,14,15,14,15,8,14,15,15,15,15,1,8,3,14,15,15,15,1,2,15,14,15,10,6,1,2,14,14,5,15,15,1,10
10311,3,11,12,6,11,10,11,11,3,1,9,12,11,10,10,5,11,8,9,9,12,7,8,6,11,10,13,12,4,10,9,12,14,2,12,6,9,2,7,7,14,14,3,4
10322,12,4,14,6,10,10,8,4,8,1,10,12,10,2,4,4,8,8,2,8,6,8,4,10,4,4,12,12,2,12,8,10,12,12,12,6,14,4,6,10,12,12,4,6
10324,8,15,14,14,1,12,14,15,1,15,14,10,15,13,14,8,15,13,11,8,14,11,2,3,13,15,13,14,1,1,8,14,15,2,8,12,4,3,15,8,13,12,3,3
10326,10,9,9,12,2,11,10,10,9,6,5,11,8,11,8,12,10,9,10,11,12,7,7,3,12,11,9,8,3,11,10,11,13,11,10,10,9,6,11,7,11,11,7,7
10327,14,15,15,10,6,12,10,15,8,5,12,15,12,11,12,12,10,10,12,12,13,3,12,3,13,13,10,12,10,10,15,14,13,8,1,5,11,12,6,10,11,10,2,2
10337,9,8,9,8,8,8,8,9,8,5,8,8,7,8,8,5,8,9,9,9,8,8,8,8,8,8,10,8,4,8,9,7,9,6,8,8,10,8,8,8,11,10,6,8
10367,14,1,9,8,9,15,12,12,12,5,13,7,8,5,4,6,8,15,13,9,8,11,9,14,9,10,10,13,1,12,11,11,13,12,7,NA,11,10,5,9,13,12,4,13
10380,12,5,10,10,13,13,8,8,2,10,12,10,13,10,8,6,7,11,15,10,9,12,13,4,11,13,4,5,1,10,10,6,5,6,11,9,10,8,10,8,6,11,5,11
10383,14,9,11,13,10,10,10,11,8,10,11,11,10,11,8,8,8,10,11,10,8,11,13,8,9,8,11,11,2,11,12,11,11,12,11,8,12,8,1,12,11,10,6,8
10397,7,14,13,12,9,13,14,15,2,1,2,14,13,13,12,2,14,14,13,10,8,1,9,11,9,13,15,15,1,13,13,7,15,9,13,10,8,9,14,14,15,12,13,15
10418,9,10,13,3,2,14,15,14,3,2,7,11,8,9,9,6,12,13,9,9,9,3,2,12,12,9,13,15,1,6,10,7,14,8,10,2,4,8,11,2,14,11,9,10
10450,14,13,14,12,10,11,15,12,9,15,15,3,15,5,4,2,15,10,15,11,4,15,2,11,4,6,9,4,1,13,15,14,12,12,11,10,10,1,9,11,5,15,10,11
10459,14,7,12,4,4,11,12,12,8,5,8,11,9,9,9,6,5,13,9,8,8,6,7,7,9,9,15,14,4,8,10,8,14,9,8,9,12,13,9,15,13,12,3,13
10485,13,9,9,9,7,13,13,13,2,13,11,13,15,13,11,8,12,10,11,9,13,4,5,2,14,12,13,2,3,3,13,14,10,2,2,4,3,13,13,3,12,10,12,9
10490,5,11,NA,7,8,10,NA,10,2,3,4,NA,10,9,10,3,3,9,10,9,11,5,5,NA,12,10,11,NA,3,8,NA,9,11,8,NA,3,7,5,9,8,12,13,NA,9
10511,14,12,10,8,10,9,11,11,3,9,6,12,11,10,10,11,10,10,12,8,12,6,14,6,10,11,14,13,7,3,11,10,12,4,12,10,15,9,15,11,13,12,4,14
10516,14,5,7,9,2,13,15,14,1,6,4,4,11,12,13,4,14,10,14,10,11,2,6,3,11,13,12,12,1,3,14,12,11,5,2,2,5,13,11,3,12,15,2,2
10536,11,5,12,6,10,12,13,13,3,4,13,13,12,11,12,13,13,12,14,12,12,5,10,14,10,10,6,13,3,13,14,12,13,13,12,9,13,9,4,9,13,14,10,3
10539,11,14,12,4,9,3,4,12,8,3,6,12,9,8,3,11,3,7,10,10,11,5,9,8,10,6,12,13,11,8,11,8,12,8,8,9,5,12,8,11,13,3,8,14
10545,15,13,10,6,15,6,8,12,9,8,10,10,11,7,8,14,5,6,8,13,9,10,11,6,11,6,9,8,2,15,15,10,9,15,12,10,11,13,7,13,13,4,4,8
