esm.rowID.w1,esm.IDnum.w1,esm.startDateTime.w1,esm.endDateTime.w1,esm.PRO01.w1,esm.PRO02.w1,esm.PRO03.w1,esm.PRO04.w1,esm.PRO05.w1,esm.PRO06.w1,esm.PRO07.w1,esm.PRO08.w1,esm.PRO09.w1,esm.OR.w1,esm.NQ11.w1,esm.NQ12.w1,esm.EXT.w1,esm.AGR.w1,esm.CON.w1,esm.NEU.w1,esm.NQ01.w1,esm.BFI37.w1,esm.BFI21.w1,esm.BFI23.w1,esm.BFI09.w1,esm.NQ09.w1,esm.NQ07.w1,esm.BFI04.w1,esm.NQ33.w1,esm.BFI36.w1,esm.BFI32.w1,esm.BFI13.w1,esm.BFI19.w1,esm.BH01.w1,esm.BH02.w1,esm.ACT12.w1,esm.BH03.w1,esm.BH04.w1,esm.BH05.w1,esm.BH06.w1,esm.BH07.w1,esm.ACT13.w1,esm.ACT18.w1,esm.BH08.w1,esm.ACT06.w1,esm.ACT39.w1,esm.ST01.w1,esm.ST02.w1,esm.ST03.w1,esm.ST04.w1,esm.AGQ13.w1,esm.ST06.w1,esm.ST07.w1,esm.ERQ02.w1,esm.ST09.w1,esm.ST10.w1,esm.ST11.w1,esm.ST12.w1,esm.ST13.w1,esm.ST14.w1,esm.ST15.w1,esm.ST16.w1,esm.ST17.w1,esm.ST18.w1,esm.ST19.w1,esm.ST20.w1,esm.ST21.w1,esm.ST22.w1,esm.ST23.w1,esm.ST24.w1,esm.ERQ02.d.w1,esm.ERQ05.d.w1,esm.ERQ06.d.w1,esm.ERQ08.d.w1,esm.i1.NOM20.d.w1,esm.CESD01.w1,esm.CESD02.w1,esm.CESD03.w1,esm.CESD04.w1,esm.CESD05.w1,esm.CESD06.w1,esm.CESD07.w1,esm.CESD08.w1,esm.CESD09.w1,esm.CESD10.w1
R_5nJuBgmn9r7S9UN,1,(10/11/12 21:00:40),(10/11/12 21:04:10),39,4,4,3,4,4,0,210,NA,Homework,NA,NA,4,4,3,1,3,1,2,3,5,3,2,1,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,NA,2,1,5,5,0,1,5,4,4,2,5,0,0,1,1,NA,NA,4,3,3,2,1,0,0,0,1,3,4,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8ie2ciRceUfMsf3,1,(10/12/12 12:31:25),(10/12/12 12:33:42),39,1,1,4,1,5,0,137,NA,Chen class,NA,NA,1,4,4.5,2.66666666666667,2,1,5,1,4,4,3,2,4,1,3,4,4,0,1,0,0,0,0,0,0,0,1,NA,NA,4,5,2,0,1,5,4,3,5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0UOchqYMksfnxjL,1,(10/12/12 15:39:43),(10/12/12 15:42:54),39,2,2,4,2,5,0,191,NA,Shopping,NA,NA,2.5,3,2.5,1,3,2,4,4,5,5,5,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,NA,3,1,4,5,0,1,1,4,3,5,4,1,0,4,1,There happened to be a big sale,NA,1,1,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6R3bd6fz8nj7kgZ,1,(10/12/12 18:02:01),(10/12/12 18:03:22),39,3,3,4,3,5,0,81,NA,Online shopping watching video,NA,NA,4.5,5,2.5,1.33333333333333,3,1,2,5,5,4,4,2,2,5,5,4,1,1,0,0,0,0,0,0,0,1,0,NA,2,1,5,5,0,1,1,5,4,1,5,0,0,1,1,NA,NA,4,3,3,4,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_cuRhNMnUhL5t6Sh,1,(10/13/12 12:01:16),(10/13/12 13:25:14),39,1,1,5,1,6,1,5038,NA,Doing laundry. Texting friend,NA,NA,3,4.5,3.5,1,3,1,3,2,5,4,4,1,2,3,4,3,1,1,0,0,0,0,0,0,0,0,0,NA,2,1,5,4,0,1,1,4,4,4,5,0,0,2,1,NA,NA,4,4,3,4,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_06AExlMCcMzJ7FP,1,(10/13/12 15:01:15),(10/13/12 15:09:31),39,2,2,5,2,6,1,496,NA,Shopping,NA,NA,4.5,5,4.5,1,4,1,2,1,5,5,4,1,1,5,5,4,1,0,0,0,0,0,0,0,0,0,0,NA,2,2,4,4,0,1,1,4,4,2,4,0,0,2,1,NA,NA,2,5,3,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_djske30t8XLhQb3,1,(10/13/12 18:23:18),(10/13/12 18:25:46),39,3,3,5,3,6,1,148,NA,Asian multicultural meeting,NA,NA,4,4.5,4,1,4,1,1,1,5,5,4,1,2,3,4,3,1,0,0,0,0,0,0,0,0,0,0,NA,4,1,4,5,0,1,3,5,5,4,3,0,0,3,1,NA,NA,3,4,4,4,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8wUneG1EVjHYMzr,1,(10/13/12 21:00:26),(10/13/12 21:01:56),39,4,4,5,4,6,1,90,NA,Homework,NA,NA,1,NA,3,1.66666666666667,3,NA,5,4,3,4,2,1,4,1,NA,4,1,1,1,0,0,0,0,0,0,0,0,NA,NA,3,5,1,0,0,5,3,3,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,4,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_a32z5jn31ChX27j,1,(10/14/12 12:52:11),(10/14/12 12:54:00),39,1,1,6,1,7,1,109,NA,Home plate. ,NA,NA,5,5,5,1,3,1,1,1,5,4,5,1,1,5,5,5,1,0,0,1,0,0,0,0,0,0,0,NA,1,1,2,5,0,1,2,5,5,2,2,0,0,3,1,NA,NA,3,5,3,5,5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6uvSZ1P550QLu8l,1,(10/14/12 16:11:54),(10/14/12 16:15:38),39,2,2,6,2,7,1,224,NA,Doing calculas,NA,NA,3.5,4.5,4.5,2.33333333333333,5,1,3,1,3,5,3,1,1,4,4,4,3,0,1,0,0,0,0,0,0,0,0,NA,1,5,4,5,1,1,5,5,5,1,4,0,0,1,1,NA,NA,5,5,3,5,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_cYNhu6olG7DOsPX,1,(10/14/12 18:01:02),(10/14/12 18:02:42),39,3,3,6,3,7,1,100,NA,Watching tv,NA,NA,2,4,2,3.33333333333333,3,1,4,5,3,5,1,4,4,2,3,3,3,1,0,0,0,0,0,0,0,1,0,NA,5,1,5,5,0,1,5,2,1,4,5,0,0,1,1,NA,NA,4,2,3,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5uuuAmWQ4b1ZiNn,1,(10/14/12 22:46:31),(10/14/12 22:47:13),39,4,4,6,4,7,1,42,NA,Doing physics,NA,NA,1.5,NA,4,2.33333333333333,3,NA,5,2,4,4,5,2,3,2,NA,4,3,1,1,0,0,0,0,0,0,0,0,NA,NA,4,5,2,0,0,5,3,2,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,4,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_bCoS3yIm08SnUXP,1,(10/15/12 14:03:52),(10/15/12 14:03:56),39,1,1,7,1,1,0,4,NA,Chemistry class,NA,NA,1.5,4,3.5,4.33333333333333,2,1,4,3,2,4,2,4,3,1,3,4,5,0,0,0,0,0,0,0,0,0,1,NA,NA,5,5,1,0,1,5,3,2,5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5hA3iMvBGAJMtw1,1,(10/15/12 15:09:05),(10/15/12 15:10:11),39,2,2,7,2,1,0,66,NA,Chen lab class,NA,NA,1,NA,2.5,4.66666666666667,2,NA,5,4,1,5,1,4,4,1,NA,3,5,0,0,0,0,0,0,0,0,0,1,NA,NA,5,5,1,0,0,5,2,1,5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3ZQQ65T9EOGXNC5,1,(10/15/12 21:44:25),(10/15/12 21:46:47),39,4,4,7,3,1,0,142,NA, Having pilate class,NA,NA,1,5,4.5,1,2,1,5,1,5,5,5,1,1,1,5,4,1,0,0,0,0,0,0,0,0,0,1,NA,NA,1,5,5,0,1,3,5,5,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,4,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6Dqljrt0FbI6bTn,1,(10/16/12 21:11:40),(10/16/12 21:12:27),39,4,4,8,1,2,0,47,NA,Calculas exam,NA,NA,1,4,5,3.33333333333333,4,1,5,1,1,5,4,1,1,1,3,5,4,0,0,0,0,0,0,0,0,0,1,NA,NA,4,3,4,0,1,5,2,1,5,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,4,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_9tYTvAxDmSTQO8Z,1,(10/17/12 12:05:59),(10/17/12 12:05:59),39,1,1,9,1,3,0,-9,NA,Chem lecture,NA,NA,1,4.5,4,3.66666666666667,3,1,5,1,2,3,4,3,5,1,4,3,4,0,0,0,0,0,0,0,0,0,1,NA,NA,4,5,1,1,1,5,2,2,5,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_ctM4UkNYO30Jj49,1,(10/17/12 18:16:29),(10/17/12 18:16:55),39,3,3,9,2,3,0,26,NA,Talking to friend,NA,NA,2.5,4,2.5,3,4,2,3,5,5,5,3,5,1,2,4,4,3,0,0,0,0,0,0,0,0,0,0,NA,2,1,5,5,0,1,2,5,4,1,5,0,0,1,1,NA,NA,5,5,3,5,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2oeLXofmkBelZuR,1,(10/17/12 21:02:54),(10/17/12 21:04:53),39,4,4,9,3,3,0,119,NA,Watching tv,NA,NA,1,NA,3,1.33333333333333,4,NA,5,5,5,5,5,2,3,1,NA,5,1,1,0,0,0,0,0,0,0,1,0,NA,NA,1,5,5,0,0,1,4,3,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_7O6vPTbmQR3t1GJ,1,(10/18/12 12:19:42),(10/18/12 12:22:36),39,1,1,10,1,4,0,174,NA,Campus book store and having lunch,NA,NA,1,4,2.5,3,3,1,5,5,3,4,4,2,4,1,3,4,4,0,0,1,0,0,0,0,0,0,0,NA,NA,2,4,4,0,1,2,2,2,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3mT9Sg8eM5twJJX,1,(10/19/12 17:42:27),(10/19/12 17:44:35),39,2,2,11,1,5,0,128,NA,Going to grocery. ,NA,NA,4,4,3.5,1.33333333333333,3,1,2,4,4,5,3,1,2,4,3,5,1,0,0,0,0,0,0,0,0,0,0,NA,4,1,5,4,0,1,1,4,2,3,4,0,0,1,1,NA,NA,4,3,4,3,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_bDCl1Cwdyf1XaXX,1,(10/19/12 18:00:28),(10/19/12 18:01:57),39,3,3,11,1,5,0,89,NA,Watching movie,NA,NA,1,NA,3,1.33333333333333,4,NA,5,4,5,5,3,2,4,1,NA,4,1,0,0,0,0,0,0,0,0,1,0,NA,NA,1,5,5,0,0,1,2,3,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_bkGkWOQLnswpW8R,1,(10/19/12 21:00:30),(10/19/12 21:04:17),39,4,4,11,2,5,0,227,NA,Watching video,NA,NA,1,NA,2,2,4,NA,5,5,5,4,2,3,4,1,NA,3,2,1,0,0,0,0,0,0,0,1,0,NA,NA,1,5,5,0,0,1,2,2,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,2,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0THFZ22houzXxe5,1,(10/20/12 12:11:36),(10/20/12 12:11:45),39,1,1,12,2,6,1,9,NA,Cooking,NA,NA,1,NA,3,1.33333333333333,4,NA,5,5,5,1,3,1,4,1,NA,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,1,5,5,0,0,1,1,2,4,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_esUS2vPbc9NDZwp,1,(10/20/12 18:00:09),(10/20/12 18:01:24),39,3,3,12,3,6,1,75,NA,Working out at gym ,NA,NA,1,NA,4.5,3.66666666666667,2,NA,5,1,2,2,3,4,5,1,NA,4,3,0,0,1,0,0,0,0,0,1,0,NA,NA,1,4,5,0,0,1,1,1,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_72ieCTTpdJZccWV,1,(10/21/12 15:29:36),(10/21/12 15:29:36),39,2,2,13,1,7,1,-3,NA,Looking through emails and doing homework,NA,NA,1,4.5,4.5,1.66666666666667,5,1,5,1,4,4,3,1,1,1,4,4,2,0,1,0,0,0,0,0,0,0,0,NA,NA,1,5,4,0,1,5,4,3,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_ei0rtH7zecg8M4d,1,(10/21/12 18:02:30),(10/21/12 18:02:35),39,3,3,13,2,7,1,5,NA,Working out,NA,NA,3.5,4.5,4.5,1.33333333333333,4,1,4,2,4,4,5,1,2,5,4,5,1,0,0,0,0,0,0,0,0,0,0,NA,4,2,5,5,0,1,3,2,4,3,4,0,0,2,1,NA,NA,4,5,3,4,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6gn2Om9ofVRl0jz,1,(10/22/12 12:01:57),(10/22/12 12:39:45),39,1,1,14,1,1,0,2268,NA,Chem class,NA,NA,1,4,4,2,4,1,5,3,3,4,3,1,3,1,3,5,2,0,1,0,0,0,0,0,0,0,1,NA,NA,5,5,2,0,1,5,2,2,5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_b3dH9fHNfkfWpEh,1,(10/22/12 15:21:24),(10/22/12 15:21:31),39,2,2,14,2,1,0,7,NA,Chem lab,NA,NA,1,4,3.5,2,4,1,5,2,4,4,3,1,5,1,3,3,3,0,0,0,0,0,0,0,0,0,1,NA,NA,4,5,1,0,1,5,3,2,5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0CEpPF47BAsmHxb,1,(10/22/12 18:04:27),(10/22/12 18:07:17),39,3,3,14,3,1,0,170,NA,Having dinner at home.,NA,NA,3.5,4.5,3.5,1.33333333333333,4,1,3,2,5,4,5,1,1,4,4,3,2,1,0,0,0,0,0,0,0,1,0,NA,2,5,5,5,0,1,3,4,4,2,5,0,0,1,1,NA,NA,4,4,1,4,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1BUWMeeU6XRsXqZ,2,(10/12/12 12:32:42),(10/12/12 14:43:15),13,6,NA,1,0,5,0,7833,NA,This research study.,NA,NA,2.5,4.5,3.5,1,4,1,3,3,5,3,3,1,3,2,4,4,1,0,0,0,0,0,0,1,0,0,0,NA,3,1,1,2,0,1,5,3,3,3,4,0,0,1,1,NA,NA,1,4,1,2,3,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_abXPXK31Z5o0Knr,2,(10/14/12 15:22:52),(10/14/12 15:25:13),13,2,2,3,1,7,1,141,NA,I was doing homework and studying with others. ,NA,NA,3,4,3,2,3,1,3,4,5,3,4,2,1,3,3,4,3,0,1,1,1,0,0,1,1,1,0,NA,3,1,5,4,1,1,3,4,3,3,4,0,0,3,1,NA,NA,5,5,3,3,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1EXumLv8TBFzltj,2,(10/14/12 19:25:08),(10/14/12 19:27:32),13,3,3,3,2,7,1,144,NA,Eating dinner with friends.,NA,NA,4,5,3,2.66666666666667,4,1,2,4,4,4,4,3,2,4,5,4,3,0,0,0,0,0,0,0,0,0,0,NA,2,1,5,5,0,1,4,5,4,3,4,1,0,3,1,My friend bought me dessert.,NA,5,5,3,5,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_4MXeaeS55zFAbgF,2,(10/15/12 13:42:34),(10/15/12 13:43:54),13,1,1,4,1,1,0,80,NA,In class,NA,NA,2,5,2.5,2.33333333333333,3,1,4,4,3,3,3,2,3,2,5,3,2,0,1,0,0,0,0,0,0,0,1,NA,3,2,5,5,0,1,3,3,2,2,2,0,0,4,1,NA,NA,3,3,3,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_9nOOFYGjdWcY5zn,2,(10/15/12 21:11:41),(10/15/12 21:11:41),13,4,4,4,2,1,0,-2,NA,Doing homework in my room.,NA,NA,1,NA,3,2.33333333333333,3,NA,5,4,4,3,4,2,4,1,NA,4,3,0,0,0,1,0,0,0,0,0,0,NA,NA,3,3,3,0,0,4,4,4,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6SbctxQ2ChZRsBn,2,(10/16/12 15:58:59),(10/16/12 15:59:53),13,2,2,5,1,2,0,54,NA,Doing laundry and reading a book.,NA,NA,2,NA,3,2,4,NA,4,4,4,4,4,2,4,2,NA,4,2,1,0,0,1,0,0,0,0,0,0,NA,NA,1,5,5,0,0,4,4,2,3,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0Hes7odaWHshGct,2,(10/16/12 21:41:25),(10/16/12 21:44:34),13,4,4,5,2,2,0,189,NA,Doing homework with friends.,NA,NA,2.5,4.5,2,2.33333333333333,4,2,4,4,4,4,4,2,3,3,5,2,3,0,1,0,1,0,0,0,0,0,0,NA,3,3,5,5,0,1,4,4,4,3,3,0,0,2,1,NA,NA,4,5,3,4,2,0,0,1,0,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_08poaGzQJmjqCzj,2,(10/17/12 16:27:48),(10/17/12 16:28:24),13,2,2,6,1,3,0,36,NA,Studying by myself in the library,NA,NA,3,NA,3.5,3,3,NA,3,3,4,4,3,3,4,3,NA,4,4,0,1,1,0,0,0,0,0,0,0,NA,NA,1,5,3,0,0,3,4,3,4,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_bxrxxpSF4DmUuCp,2,(10/17/12 18:47:57),(10/17/12 18:47:57),13,3,3,6,2,3,0,-28,NA,Eating dinner with friends.,NA,NA,4.5,NA,3,1.66666666666667,4,1,1,4,4,4,4,1,1,4,NA,4,2,0,0,1,0,1,0,0,0,0,0,NA,3,1,5,4,0,1,3,4,4,2,3,0,0,3,1,NA,NA,5,5,3,4,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2ix0iXythFjZZSl,2,(10/18/12 12:00:33),(10/18/12 12:01:37),13,1,1,7,1,4,0,64,NA,Working on homework.,NA,NA,2,NA,2.5,3.33333333333333,4,NA,5,3,2,3,3,4,2,3,NA,2,2,0,1,1,0,0,0,0,0,0,0,NA,NA,3,5,3,0,0,2,2,2,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
